id,name,album_group,album_type,release_date,popularity
1246,You're Gonna Need a Bigger Goat,NULL,album,2017-02-01 00:00:00.0000000,0
1247,Cumbia Del Violin,NULL,album,2003-01-01 00:00:00.0000000,0
1248,Plains of Nebrasky-O,NULL,compilation,2000-09-12 00:00:00.0000000,0
1249,Every Perfect Picture,NULL,album,2012-05-08 00:00:00.0000000,0
125,Poetry,NULL,album,2013-09-17 00:00:00.0000000,0
1250,Heart of Hearts,NULL,album,1987-01-01 00:00:00.0000000,0
1251,Whoppin' And Squallin',NULL,album,1981-01-01 00:00:00.0000000,0
1252,20 Años Cantándole a México,NULL,album,2021-02-16 00:00:00.0000000,7
1253,Joyful Season,NULL,album,2005-01-01 00:00:00.0000000,9
1254,The Log Splitter Set,NULL,album,2007-05-22 00:00:00.0000000,0
1255,Westcoast,NULL,album,2012-03-06 00:00:00.0000000,0
1256,Lion,NULL,single,2011-02-14 00:00:00.0000000,0
1257,Lost In Silence,NULL,album,2006-09-01 00:00:00.0000000,0
1258,Crying,NULL,album,2009-01-26 00:00:00.0000000,0
1259,Bury Me,NULL,album,2016-01-22 00:00:00.0000000,0
126,Feeling Good,NULL,album,2015-11-27 00:00:00.0000000,0
1260,Elude,NULL,album,2017-11-20 00:00:00.0000000,0
1261,The Ghost in the Parlour,NULL,album,2013-03-19 00:00:00.0000000,0
1262,"Horn Concerto No. 1 in D Major, K. 412: II. Rondo: Allegro",NULL,album,2007-08-01 00:00:00.0000000,0
1263,Ballade,NULL,album,2015-06-14 00:00:00.0000000,0
1264,Leland Mississippi Blues,NULL,album,2013-05-10 00:00:00.0000000,0
1265,Vedo nero - Originally Performed By Zucchero,NULL,album,2011-10-19 00:00:00.0000000,0
1266,Day I Die,NULL,album,2010-02-16 00:00:00.0000000,0
1267,"Porno, poker et jeux vidéo",NULL,album,2014-02-10 00:00:00.0000000,0
1268,"Verdi: La Traviata: Un di, felice, eterea - Act One",NULL,album,2002-04-02 00:00:00.0000000,0
1269,Folium,NULL,compilation,2013-12-06 00:00:00.0000000,0
127,Voyage,NULL,single,2018-10-11 00:00:00.0000000,0
1270,Jesu O Tsohile,NULL,album,2009-01-01 00:00:00.0000000,30
1271,Ciudad del Caos,NULL,album,2012-09-03 00:00:00.0000000,8
1272,Without a Fight,NULL,album,2012-12-31 00:00:00.0000000,0
1273,Auf d'Nocht,NULL,album,2013-05-28 00:00:00.0000000,0
1274,Alles,NULL,album,2017-03-06 00:00:00.0000000,0
1275,Great Is Thy Faithfulness,NULL,album,2005-01-01 00:00:00.0000000,0
1276,Livin' Like a Joker,NULL,single,2011-02-21 00:00:00.0000000,0
1277,Gambling Man,NULL,single,2013-04-05 00:00:00.0000000,0
1278,Cirlce of Light,NULL,album,2014-03-03 00:00:00.0000000,0
1279,My Darling's Last Goodbye,NULL,album,2015-07-01 00:00:00.0000000,0
128,Marvelous - Oxford Remix,NULL,single,2012-07-17 00:00:00.0000000,0
1280,"Rumble in Brighton - Live at Loreley, August 20th 1983",NULL,album,2015-06-19 00:00:00.0000000,0
1281,Gospel Masters: Rock My Soul,NULL,album,2005-11-30 00:00:00.0000000,0
1282,End States,NULL,album,2005-07-12 00:00:00.0000000,0
1283,Death Around The Corner,NULL,album,2011-03-30 00:00:00.0000000,0
1284,Dark Side - Live,NULL,album,2013-11-29 00:00:00.0000000,0
1285,Ylime,NULL,album,1998-10-20 00:00:00.0000000,0
